Name,R8.5 Cname,R9 Cname,Guid Value,Package
GenericPlatformVariable,gEfiGenericVariableGuid,gEfiGenericPlatformVariableGuid,59d1c24f-50f1-401a-b101-f33e0daed443,MdeModulePkg
Apriori,gAprioriGuid,gAprioriGuid,FC510EE7-FFDC-11D4-BD41-0080C73C8881,MdePkg
BootObjectAuthorizationParmset,gBootObjectAuthorizationParmsetGuid,gBootObjectAuthorizationParmsetGuid,EDD35E31-07B9-11D2-83A3-00A0C91FADCF,MdePkg
Acpi10Table,gEfiAcpi10TableGuid,gEfiAcpi10TableGuid,EB9D2D30-2D88-11D3-9A16-0090273FC14D,MdePkg
Acpi20Table,gEfiAcpi20TableGuid,gEfiAcpi20TableGuid,8868E871-E4F1-11D3-BC22-0080C73C8881,MdePkg
Acpi30Table,gEfiAcpi30TableGuid,gEfiAcpi30TableGuid,8868E871-E4F1-11D3-BC22-0080C73C8881,MdePkg
AcpiTableStorage,gEfiAcpiTableStorageGuid,gEfiAcpiTableStorageGuid,7E374E25-8E01-4FEE-87F2-390C23C606CD,MdePkg
AuthenticationChapLocal,gEfiAuthenticationChapLocalGuid,gEfiAuthenticationChapLocalGuid,C280C73E-15CA-11DA-B0CA-001083FFCA4D,MdePkg
AuthenticationChapRadius,gEfiAuthenticationChapRadiusGuid,gEfiAuthenticationChapRadiusGuid,D6062B50-15CA-11DA-9219-001083FFCA4D,MdePkg
CacheSubClass,gCacheSubClassName,gEfiCacheSubClassGuid,7F0013A7-DC79-4B22-8099-11F75FDC829D,MdePkg
Capsule,gEfiCapsuleGuid,gEfiCapsuleGuid,3B6686BD-0D76-4030-B70E-B5519E2FC5A0,MdePkg
ConfigFileName,gEfiConfigFileNameGuid,gEfiConfigFileNameGuid,98B8D59B-E8BA-48EE-98DD-C295392F1EDB,MdePkg
DebugImageInfoTable,gEfiDebugImageInfoTableGuid,gEfiDebugImageInfoTableGuid,49152E77-1ADA-4764-B7A2-7AFEFED95E8B,MdePkg
DxeServicesTable,gEfiDxeServicesTableGuid,gEfiDxeServicesTableGuid,05AD34BA-6F02-4214-952E-4DA0398E2BB9,MdePkg
EventExitBootServices,gEfiEventExitBootServicesGuid,gEfiEventExitBootServicesGuid,27ABF055-B1B8-4C26-8048-748F37BAA2DF,MdePkg
EventLegacyBoot,gEfiEventLegacyBootGuid,gEfiEventLegacyBootGuid,2A571201-4966-47F6-8B86-F31E41F32F10,MdePkg
EventMemoryMapChange,gEfiEventMemoryMapChangeGuid,gEfiEventMemoryMapChangeGuid,78BEE926-692F-48FD-9EDB-01422EF0D7AB,MdePkg
EventReadyToBoot,gEfiEventReadyToBootGuid,gEfiEventReadyToBootGuid,7CE88FB3-4BD7-4679-87A8-A8D8DEE50D2B,MdePkg
EventVirtualAddressChange,gEfiEventVirtualAddressChangeGuid,gEfiEventVirtualAddressChangeGuid,13FA7698-C831-49C7-87EA-8F43FCC25196,MdePkg
FileInfo,gEfiFileInfoGuid,gEfiFileInfoGuid,09576E92-6D3F-11D2-8E39-00A0C969723B,MdePkg
FileSystemInfo,gEfiFileSystemInfoGuid,gEfiFileSystemInfoGuid,09576E93-6D3F-11D2-8E39-00A0C969723B,MdePkg
FileSystemVolumeLabelInfoId,gEfiFileSystemVolumeLabelInfoIdGuid,gEfiFileSystemVolumeLabelInfoIdGuid,DB47D7D3-FE81-11D3-9A35-0090273FC14D,MdePkg
FirmwareFileSystem,gEfiFirmwareFileSystemGuid,gEfiFirmwareFileSystemGuid,7A9354D9-0468-444A-81CE-0BF617D890DF,MdePkg
FirmwareVolumeTopFile,gEfiFirmwareVolumeTopFileGuid,gEfiFirmwareVolumeTopFileGuid,1BA0062E-C779-4582-8566-336AE8F78F09,MdePkg
FrameworkDevicePath,gEfiFrameworkDevicePathGuid,gEfiFrameworkDevicePathGuid,B7084E63-46B7-4D1A-8677-E30B53DBF050,MdePkg
GlobalVariable,gEfiGlobalVariableGuid,gEfiGlobalVariableGuid,8BE4DF61-93CA-11D2-AA0D-00E098032B8C,MdePkg
HashAlgorithmMD5,gEfiHashAlgorithmMD5Guid,gEfiHashAlgorithmMD5Guid,0AF7C79C-65B5-4319-B0AE-44EC484E4AD7,MdePkg
HashAlgorithmSha1,gEfiHashAlgorithmSha1Guid,gEfiHashAlgorithmSha1Guid,2AE9D80F-3FB2-4095-B7B1-E93157B946B6,MdePkg
HashAlgorithmSha224,gEfiHashAlgorithmSha224Guid,gEfiHashAlgorithmSha224Guid,8DF01A06-9BD5-4BF7-B021-DB4FD9CCF45B,MdePkg
HashAlgorithmSha256,gEfiHashAlgorithmSha256Guid,gEfiHashAlgorithmSha256Guid,51AA59DE-FDF2-4EA3-BC63-875FB7842EE9,MdePkg
HashAlgorithmSha384,gEfiHashAlgorithmSha384Guid,gEfiHashAlgorithmSha384Guid,EFA96432-DE33-4DD2-AEE6-328C33DF777A,MdePkg
HashAlgorithmSha512,gEfiHashAlgorithmSha512Guid,gEfiHashAlgorithmSha512Guid,CAA4381E-750C-4770-B870-7A23B4E42130,MdePkg
HobList,gEfiHobListGuid,gEfiHobListGuid,7739F24C-93D7-11D4-9A3A-0090273FC14D,MdePkg
HobMemoryAllocBspStore,gEfiHobMemoryAllocBspStoreGuid,gEfiHobMemoryAllocBspStoreGuid,564B33CD-C92A-4593-90BF-2473E43C6322,MdePkg
HobMemoryAllocModule,gEfiHobMemoryAllocModuleGuid,gEfiHobMemoryAllocModuleGuid,F8E21975-0899-4F58-A4BE-5525A9C6D77A,MdePkg
HobMemoryAllocStack,gEfiHobMemoryAllocStackGuid,gEfiHobMemoryAllocStackGuid,4ED4BF27-4092-42E9-807D-527B1D00C9BD,MdePkg
MdePkgTokenSpace,gEfiMdePkgTokenSpaceGuid,gEfiMdePkgTokenSpaceGuid,914AEBE7-4635-459b-AA1C-11E219B03A10,MdePkg
MemoryProducer,gMemoryProducerGuid,gEfiMemoryProducerGuid,772484B2-7482-4B91-9F9A-AD43F81C5881,MdePkg
MemorySubClass,gMemorySubClassGuid,gEfiMemorySubClassGuid,4E8F4EBB-64B9-4E05-9B18-4CFE49235097,MdePkg
MiscProducer,gMiscProducerGuid,gEfiMiscProducerGuid,62512C92-63C4-4D80-82B1-C1A4DC4480E5,MdePkg
MiscSubClass,gMiscSubClassGuid,gEfiMiscSubClassGuid,772484B2-7482-4B91-9F9A-AD43F81C5881,MdePkg
MpsTable,gEfiMpsTableGuid,gEfiMpsTableGuid,EB9D2D2F-2D88-11D3-9A16-0090273FC14D,MdePkg
PartTypeLegacyMbr,gEfiPartTypeLegacyMbrGuid,gEfiPartTypeLegacyMbrGuid,024DEE41-33E7-11D3-9D69-0008C781F39F,MdePkg
PartTypeSystemPart,gEfiPartTypeSystemPartGuid,gEfiPartTypeSystemPartGuid,C12A7328-F81F-11D2-BA4B-00A0C93EC93B,MdePkg
PartTypeUnused,gEfiPartTypeUnusedGuid,gEfiPartTypeUnusedGuid,00000000-0000-0000-0000-000000000000,MdePkg
PcAnsi,gEfiPcAnsiGuid,gEfiPcAnsiGuid,E0C14753-F9BE-11D2-9A0C-0090273FC14D,MdePkg
ProcessorProducer,gProcessorProducerGuid,gEfiProcessorProducerGuid,1BF06AEA-5BEC-4A8D-9576-749B09562D30,MdePkg
ProcessorSubClass,gProcessorSubClassName,gEfiProcessorSubClassGuid,26FDEB7E-B8AF-4CCF-AA97-02633CE48CA7,MdePkg
SalSystemTable,gEfiSalSystemTableGuid,gEfiSalSystemTableGuid,EB9D2D32-2D88-11D3-9A16-0090273FC14D,MdePkg
SmbiosTable,gEfiSmbiosTableGuid,gEfiSmbiosTableGuid,EB9D2D31-2D88-11D3-9A16-0090273FC14D,MdePkg
SmmCpuIo,gEfiSmmCpuIoGuid,gEfiSmmCpuIoGuid,5F439A0B-45D8-4682-A4F4-F0576B513441,MdePkg
SmmPeiSmramMemoryReserve,gEfiSmmPeiSmramMemoryReserve,gEfiSmmPeiSmramMemoryReserve,6DADF1D1-D4CC-4910-BB6E-82B1FD80FF3D,MdePkg
StatusCodeDataTypeAssert,gEfiStatusCodeDataTypeAssertGuid,gEfiStatusCodeDataTypeAssertGuid,DA571595-4D99-487C-827C-2622677D3307,MdePkg
StatusCodeDataTypeDebug,gEfiStatusCodeDataTypeDebugGuid,gEfiStatusCodeDataTypeDebugGuid,9A4E9246-D553-11D5-87E2-00062945C3B9,MdePkg
StatusCodeDataTypeError,gEfiStatusCodeDataTypeErrorGuid,gEfiStatusCodeDataTypeErrorGuid,AB359CE3-99B3-AE18-C89D-95D3B072E19B,MdePkg
StatusCodeDataTypeExceptionHandler,gEfiStatusCodeDataTypeExceptionHandlerGuid,gEfiStatusCodeDataTypeExceptionHandlerGuid,3BC2BD12-AD2E-11D5-87DD-00062945C3B9,MdePkg
StatusCodeDataTypeProgressCode,gEfiStatusCodeDataTypeProgressCodeGuid,gEfiStatusCodeDataTypeProgressCodeGuid,A356AB39-35C4-35DA-B37A-F8EA9E8B36A3,MdePkg
StatusCodeDataTypeString,gEfiStatusCodeDataTypeStringGuid,gEfiStatusCodeDataTypeStringGuid,92D11080-496F-4D95-BE7E-037488382B0A,MdePkg
StatusCodeSpecificData,gEfiStatusCodeSpecificDataGuid,gEfiStatusCodeSpecificDataGuid,335984BD-E805-409A-B8F8-D27ECE5FF7A6,MdePkg
VT100,gEfiVT100Guid,gEfiVT100Guid,DFA66065-B419-11D3-9A2D-0090273FC14D,MdePkg
VT100Plus,gEfiVT100PlusGuid,gEfiVT100PlusGuid,7BAEC70B-57E0-4C76-8E87-2F9E28088343,MdePkg
VTUTF8,gEfiVTUTF8Guid,gEfiVTUTF8Guid,AD15A0D6-8BEC-4ACF-A073-D01DE77E2D88,MdePkg
SmmCommunicateHeader,gSmmCommunicateHeaderGuid,gSmmCommunicateHeaderGuid,F328E36C-23B6-4A95-854B-32E19534CD75,MdePkg
GenericPlatformTokenSpace,gEfiGenericPlatformTokenSpaceGuid,gEfiGenericPlatformTokenSpaceGuid,18D15EA6-9E14-40a1-B39C-59C44DA9D891,EdkModulePkg
EdkModulePkgTokenSpace,gEfiEdkModulePkgTokenSpaceGuid,gEfiEdkModulePkgTokenSpaceGuid,8CC4092F-F60E-46d1-B41C-1E761DF50582,EdkModulePkg
PcdDataBaseHob,gPcdDataBaseHobGuid,gPcdDataBaseHobGuid,EA296D92-0B69-423C-8C28-33B4E0A91268,EdkModulePkg
PcdPeiCallbackFnTable,gPcdPeiCallbackFnTableHobGuid,gPcdPeiCallbackFnTableHobGuid,C625F4B2-EA09-4675-82D7-BA3682157A14,EdkModulePkg
PeiPeCoffLoader,gEfiPeiPeCoffLoaderGuid,gEfiPeiPeCoffLoaderGuid,D8117CFF-94A6-11D4-9A3A-0090273FC14D,EdkModulePkg
FlashMapHob,gEfiFlashMapHobGuid,gEfiFlashMapHobGuid,B091E7D2-05A0-4198-94F0-74B7B8C55459,EdkModulePkg
StatusCodeDataTypeString,gEfiStatusCodeDataTypeStringGuid,gEfiStatusCodeDataTypeStringGuid,92D11080-496F-4D95-BE7E-037488382B0A,EdkModulePkg
StatusCodeDataTypeDebug,gEfiStatusCodeDataTypeDebugGuid,gEfiStatusCodeDataTypeDebugGuid,9A4E9246-D553-11D5-87E2-00062945C3B9,EdkModulePkg
StatusCodeDataTypeAssert,gEfiStatusCodeDataTypeAssertGuid,gEfiStatusCodeDataTypeAssertGuid,DA571595-4D99-487C-827C-2622677D3307,EdkModulePkg
StatusCodeDataTypeExceptionHandler,gEfiStatusCodeDataTypeExceptionHandlerGuid,gEfiStatusCodeDataTypeExceptionHandlerGuid,3BC2BD12-AD2E-11D5-87DD-00062945C3B9,EdkModulePkg
StatusCodeDataTypeError,gEfiStatusCodeDataTypeErrorGuid,gEfiStatusCodeDataTypeErrorGuid,AB359CE3-99B3-AE18-C89D-95D3B072E19B,EdkModulePkg
StatusCodeDataTypeProgressCode,gEfiStatusCodeDataTypeProgressCodeGuid,gEfiStatusCodeDataTypeProgressCodeGuid,A356AB39-35C4-35DA-B37A-F8EA9E8B36A3,EdkModulePkg
StatusCodeSpecificData,gEfiStatusCodeSpecificDataGuid,gEfiStatusCodeSpecificDataGuid,335984BD-E805-409A-B8F8-D27ECE5FF7A6,EdkModulePkg
SystemNvDataHob,gEfiSystemNvDataHobGuid,gEfiSystemNvDataHobGuid,D6E5092D-C7B2-4872-AF66-FDC0E6F95E78,EdkModulePkg
SystemNvDataFv,gEfiSystemNvDataFvGuid,gEfiSystemNvDataFvGuid,FFF12B8D-7696-4C8B-A985-2747075B4F50,EdkModulePkg
DiskInfoIde,gEfiDiskInfoIdeInterfaceGuid,gEfiDiskInfoIdeInterfaceGuid,5E948FE3-26D3-42B5-AF17-610287188DEC,EdkModulePkg
DiskInfoScsi,gEfiDiskInfoScsiInterfaceGuid,gEfiDiskInfoScsiInterfaceGuid,08F74BAA-EA36-41D9-9521-21A70F8780BC,EdkModulePkg
DiskInfoUsb,gEfiDiskInfoUsbInterfaceGuid,gEfiDiskInfoUsbInterfaceGuid,CB871572-C11A-47B5-B492-675EAFA77727,EdkModulePkg
AlternateFvBlock,gEfiAlternateFvBlockGuid,gEfiAlternateFvBlockGuid,F496922D-172F-4BBC-A1EB-0EEB949C3486,EdkModulePkg
ConsoleInDevice,gEfiConsoleInDeviceGuid,gEfiConsoleInDeviceGuid,D3B36F2B-D551-11D4-9A46-0090273FC14D,EdkModulePkg
ConsoleOutDevice,gEfiConsoleOutDeviceGuid,gEfiConsoleOutDeviceGuid,D3B36F2C-D551-11D4-9A46-0090273FC14D,EdkModulePkg
