R8.5LibClass,R8.5Lib,R9Lib,R9LibClass,Package
EfiDriverLib,EfiCopyMem,CopyMem,BaseMemoryLib,MdePkg
EfiDriverLib,EfiSetMem,SetMem,BaseMemoryLib,MdePkg
EfiDriverLib,EfiZeroMem,ZeroMem,BaseMemoryLib,MdePkg
EfiDriverLib,EfiLibInstallDriverBinding,EfiLibInstallDriverBinding,UefiLib,MdePkg
EfiDriverLib,EfiLibInstallAllDriverProtocols,EfiLibInstallAllDriverProtocols,UefiLib,MdePkg
EfiDriverLib,EfiLibCompareLanguage,R8_EfiLibCompareLanguage,%,MdePkg
EfiDriverLib,EfiDevicePathSize,GetDevicePathSize,DevicePathLib,MdePkg
EfiDriverLib,EfiDuplicateDevicePath,DuplicateDevicePath,DevicePathLib,MdePkg
EfiDriverLib,EfiAppendDevicePath,AppendDevicePath,DevicePathLib,MdePkg
EfiDriverLib,EfiAppendDevicePathNode,AppendDevicePathNode,DevicePathLib,MdePkg
EfiDriverLib,EfiAppendDevicePathInstance,AppendDevicePathInstance,DevicePathLib,MdePkg
EfiDriverLib,EfiDevicePathInstance,GetNextDevicePathInstance,DevicePathLib,MdePkg
EfiDriverLib,EfiIsDevicePathMultiInstance,IsDevicePathMultiInstance,DevicePathLib,MdePkg
EfiDriverLib,EfiDevicePathFromHandle,DevicePathFromHandle,DevicePathLib,MdePkg
EfiDriverLib,EfiFileDevicePath,FileDevicePath,DevicePathLib,MdePkg
EfiDriverLib,EfiLibGetSystemConfigurationTable,EfiGetSystemConfigurationTable,UefiLib,MdePkg
EfiDriverLib,EfiLibCreateProtocolNotifyEvent,EfiCreateProtocolNotifyEvent,UefiLib,MdePkg
EfiDriverLib,EfiLibNamedEventListen,EfiNamedEventListen,UefiLib,MdePkg
EfiDriverLib,EfiLibNamedEventSignal,EfiNamedEventSignal,UefiLib,MdePkg
EfiDriverLib,EfiLibLookupUnicodeString,LookupUnicodeString,UefiLib,MdePkg
EfiDriverLib,EfiLibAddUnicodeString,AddUnicodeString,UefiLib,MdePkg
EfiDriverLib,EfiLibFreeUnicodeStringTable,FreeUnicodeStringTable,UefiLib,MdePkg
EfiDriverLib,EfiLibGetSystemConfigurationTable,EfiGetSystemConfigurationTable,UefiLib,MdePkg
EfiDriverLib,EfiAcquireLock,EfiAcquireLock,UefiLib,MdePkg
EfiDriverLib,EfiInitializeLock,EfiInitializeLock,UefiLib,MdePkg
EfiDriverLib,EFI_INITIALIZE_LOCK_VARIABLE,EFI_INITIALIZE_LOCK_VARIABLE,UefiLib,MdePkg
EfiDriverLib,EfiAcquireLockOrFail,EfiAcquireLockOrFail,UefiLib,MdePkg
EfiDriverLib,EfiReleaseLock,EfiReleaseLock,UefiLib,MdePkg
EfiDriverLib,EfiLibAllocateCopyPool,AllocateCopyPool,MemoryAllocationLib,MdePkg
EfiDriverLib,EfiLibAllocatePool,AllocatePool,MemoryAllocationLib,MdePkg
EfiDriverLib,EfiLibAllocateRuntimeCopyPool,AllocateRuntimeCopyPool,MemoryAllocationLib,MdePkg
EfiDriverLib,EfiLibAllocateRuntimePool,AllocateRuntimePool,MemoryAllocationLib,MdePkg
EfiDriverLib,EfiLibAllocateRuntimeZeroPool,AllocateRuntimeZeroPool,MemoryAllocationLib,MdePkg
EfiDriverLib,EfiLibAllocateZeroPool,AllocateZeroPool,MemoryAllocationLib,MdePkg
EfiDriverLib,EfiLibSafeFreePool,SafeFreePool,MemoryAllocationLib,MdePkg
EfiDriverLib,EfiCreateEventReadyToBoot,EfiCreateEventReadyToBootEx,UefiLib,MdePkg
EfiDriverLib,EfiCreateEventLegacyBoot,EfiCreateEventLegacyBootEx,UefiLib,MdePkg
EfiDriverLib,EfiInitializeFwVolDevicepathNode,EfiInitializeFwVolDevicepathNode,UefiLib,MdePkg
EfiDriverLib,EfiGetNameGuidFromFwVolDevicePathNode,EfiGetNameGuidFromFwVolDevicePathNode,UefiLib,MdePkg
EfiDriverLib,ReportStatusCodeWithDevicePath,ReportStatusCodeWithDevicePath,ReportStatusCodeLib,MdePkg
EfiDriverLib,EFI_FIELD_OFFSET,EFI_FIELD_OFFSET,BaseLib,MdePkg
EfiDriverLib,EFI_LIST,LIST_ENTRY,BaseLib,MdePkg
EfiDriverLib,EFI_LIST_ENTRY,LIST_ENTRY    ,BaseLib,MdePkg
EfiDriverLib,EFI_LIST_NODE,LIST_ENTRY    ,BaseLib,MdePkg
EfiDriverLib,FLOCK,EFI_LOCK,UefiLib,MdePkg
EfiDriverLib,GetFirstNode,GetFirstNode,BaseLib,MdePkg
EfiDriverLib,GetNextNode,GetNextNode,BaseLib,MdePkg
EfiDriverLib,InitializeListHead,InitializeListHead,BaseLib,MdePkg
EfiDriverLib,INITIALIZE_LIST_HEAD_VARIABLE,INITIALIZE_LIST_HEAD_VARIABLE,BaseLib,MdePkg
EfiDriverLib,InsertHeadList,InsertHeadList,BaseLib,MdePkg
EfiDriverLib,InsertTailList,InsertTailList,BaseLib,MdePkg
EfiDriverLib,IsListEmpty,IsListEmpty,BaseLib,MdePkg
EfiDriverLib,IsNodeAtEnd,IsNodeAtEnd,BaseLib,MdePkg
EfiDriverLib,IsNull,IsNull,BaseLib,MdePkg
EfiDriverLib,RemoveEntryList,RemoveEntryList,BaseLib,MdePkg
EfiDriverLib,SwapListEntries,SwapListEntries,BaseLib,MdePkg
EfiDriverLib,GetCpuHobInfo,R8_GetCpuHobInfo,%,MdePkg
EfiDriverLib,GetDxeCoreHobInfo,R8_GetDxeCoreHobInfo,%,MdePkg
EfiDriverLib,GetHob,R8_GetHob,%,MdePkg
EfiDriverLib,GetHobBootMode,R8_GetHobBootMode,%,MdePkg
EfiDriverLib,GetHobListSize,R8_GetHobListSize,%,MdePkg
EfiDriverLib,GetHobVersion,R8_GetHobVersion,%,MdePkg
EfiDriverLib,GetIoPortSpaceAddressHobInfo,R8_GetIoPortSpaceAddressHobInfo,%,MdePkg
EfiDriverLib,GetNextFirmwareVolumeHob,R8_GetNextFirmwareVolumeHob,%,MdePkg
EfiDriverLib,GetNextGuidHob,R8_GetNextGuidHob,%,MdePkg
EfiDriverLib,GetPalEntryHobInfo,R8_GetPalEntryHobInfo,%,MdePkg
EfiCommonLib,ASPrint,AsciiSPrint,PrintLib,MdePkg
EfiCommonLib,AvSPrint,AsciiVSPrint,PrintLib,MdePkg
EfiCommonLib,BufToHexString,R8_BufToHexString,%,MdePkg
EfiCommonLib,CHARACTER_NUMBER_FOR_VALUE,MAXIMUM_VALUE_CHARACTERS,PrintLib,MdePkg
EfiCommonLib,CodeTypeToPostCode,CodeTypeToPostCode,ReportStatusCodeLib,MdePkg
EfiCommonLib,COMMA_TYPE,COMMA_TYPE,PrintLib,MdePkg
EfiCommonLib,DivU64x32,DivU64x64Remainder,BaseLib,MdePkg
EfiCommonLib,EfiAsciiStrCpy,AsciiStrCpy,BaseLib,MdePkg
EfiCommonLib,EfiAsciiStrLen,AsciiStrLen,BaseLib,MdePkg
EfiCommonLib,EfiAsciiStrCmp,AsciiStrCmp,BaseLib,MdePkg
EfiCommonLib,EfiCommonIoRead,n/a,n/a,MdePkg
EfiCommonLib,EfiCommonIoWrite,n/a,n/a,MdePkg
EfiCommonLib,EfiCommonLibCopyMem,CopyMem,BaseMemoryLib,MdePkg
EfiCommonLib,EfiCommonLibSetMem,SetMem,BaseMemoryLib,MdePkg
EfiCommonLib,EfiCommonLibZeroMem,ZeroMem,BaseMemoryLib,MdePkg
EfiCommonLib,EfiCommonPciRead,n/a,n/a,MdePkg
EfiCommonLib,EfiCommonPciWrite,n/a,n/a,MdePkg
EfiCommonLib,EfiCompareGuid,CompareGuid,BaseMemoryLib,MdePkg
