R8.5 Name,R9 Name
BBS_TYPE_DEV,BBS_TYPE_BEV
BOOT_OBJECT_AUTHORIZATION_PARMSET_GUIDVALUE,BOOT_OBJECT_AUTHORIZATION_PARMSET_GUID
CONTROLLER_DEVICE_PATH.Controller,CONTROLLER_DEVICE_PATH.ControllerNumber
EFI_FX_SAVE_STATE,EFI_FX_SAVE_STATE_IA32
EFI_VOLUME_OPEN,EFI_SIMPLE_FILE_SYSTEM_PROTOCOL_OPEN_VOLUME
PXE_CPB_START,PXE_CPB_START_30
PEI_CPU_IO_PPI_GUID,EFI_PEI_CPU_IO_PPI_INSTALLED_GUID
PEI_PCI_CFG_PPI_GUID,EFI_PEI_PCI_CFG_PPI_INSTALLED_GUID
EFI_INTERNAL_FUNCTION,0x0
EFI_INTERNAL_POINTER,0x0
EFI_IPF_GP_POINTER,0x0
EFI_TPL_DRIVER,EFI_TPL_APPLICATION
EFI_ACPI_TABLE_GUID,EFI_ACPI_10_TABLE_GUID
EFI_ACPI_20_TABLE_GUID,EFI_ACPI_TABLE_GUID
EFI_GLOBAL_VARIABLE_GUID,EFI_GLOBAL_VARIABLE
EFI_MPS_TABLE_GUID,MPS_TABLE_GUID
EFI_SAL_SYSTEM_TABLE_GUID,SAL_SYSTEM_TABLE_GUID
EFI_SMBIOS_TABLE_GUID,SMBIOS_TABLE_GUID
EFI_EBC_INTERPRETER_PROTOCOL_GUID,EFI_EBC_PROTOCOL_GUID
EFI_FILE_SYSTEM_VOLUME_LABEL_INFO_ID_GUID,EFI_FILE_SYSTEM_VOLUME_LABEL_ID
EFI_LOADED_IMAGE_INFORMATION_REVISION,EFI_LOADED_IMAGE_PROTOCOL_REVISION
LOAD_FILE_PROTOCOL_GUID,EFI_LOAD_FILE_PROTOCOL_GUID
EFI_PXE_BASE_CODE_INTERFACE_REVISION,EFI_PXE_BASE_CODE_PROTOCOL_REVISION
EFI_PXE_BASE_CODE_CALLBACK_INTERFACE_REVISION,EFI_PXE_BASE_CODE_CALLBACK_PROTOCOL_REVISION
SERIAL_IO_INTERFACE_REVISION,EFI_SERIAL_IO_PROTOCOL_REVISION
EFI_FILE_HANDLE_REVISION,EFI_FILE_PROTOCOL_REVISION
EFI_SIMPLE_TEXT_IN_PROTOCOL_GUID,EFI_SIMPLE_TEXT_INPUT_PROTOCOL_GUID
EFI_SIMPLE_TEXT_IN_PROTOCOL,EFI_SIMPLE_TEXT_INPUT_PROTOCOL
EFI_SIMPLE_TEXT_OUT_PROTOCOL,EFI_SIMPLE_TEXT_OUTPUT_PROTOCOL
EFI_OPTIONAL_POINTER,EFI_OPTIONAL_PTR
PXE_FRAME_TYPE_MULTICAST,PXE_FRAME_TYPE_FILTERED_MULTICAST
EFI_IMAGE_MACHINE_IA32,IMAGE_FILE_MACHINE_I386
EFI_IMAGE_MACHINE_IA64,IMAGE_FILE_MACHINE_IA64
EFI_IMAGE_MACHINE_EBC,IMAGE_FILE_MACHINE_EBC
EFI_IMAGE_MACHINE_X64,IMAGE_FILE_MACHINE_X64
EFI_TEXT_OUTPUT_STRING,EFI_TEXT_STRING
EFI_EVENT_TIMER,EVENT_TIMER
EFI_EVENT_RUNTIME,EVENT_RUNTIME
EFI_EVENT_RUNTIME_CONTEXT,EVENT_RUNTIME_CONTEXT  
EFI_EVENT_NOTIFY_WAIT,EVENT_NOTIFY_WAIT
EFI_EVENT_NOTIFY_SIGNAL,EVENT_NOTIFY_SIGNAL
EFI_EVENT_SIGNAL_EXIT_BOOT_SERVICES,EVENT_SIGNAL_EXIT_BOOT_SERVICES
EFI_EVENT_SIGNAL_VIRTUAL_ADDRESS_CHANGE,EVENT_SIGNAL_VIRTUAL_ADDRESS_CHANGE
EFI_TPL_APPLICATION,TPL_APPLICATION
EFI_TPL_CALLBACK,TPL_CALLBACK
EFI_TPL_NOTIFY,TPL_NOTIFY
EFI_TPL_HIGH_LEVEL,TPL_HIGH_LEVEL
UEFI_2_00_SYSTEM_TABLE_REVISION,EFI_2_00_SYSTEM_TABLE_REVISION
PEI_STATUS_CODE_PPI_GUID,EFI_PEI_REPORT_PROGRESS_CODE_PPI_GUID
PEI_STATUS_CODE_PPI,EFI_PEI_PROGRESS_CODE_PPI
PEI_REPORT_STATUS_CODE,EFI_PEI_REPORT_STATUS_CODE
PEI_BOOT_IN_RECOVERY_MODE_PEIM_PPI,EFI_PEI_BOOT_IN_RECOVERY_MODE_PEIM_PPI
PEI_CPU_IO_PPI,EFI_PEI_CPU_IO_PPI
PEI_CPU_IO_PPI_WIDTH,EFI_ PEI_CPU_IO_PPI_WIDTH
PEI_CPU_IO_PPI_ACCESS,EFI_PEI_CPU_IO_PPI_ACCESS
PEI_CPU_IO_PPI_IO_MEM,EFI_PEI_CPU_IO_PPI_IO_MEM
PEI_CPU_IO_PPI_IO_READ8,EFI_PEI_CPU_IO_PPI_IO_READ8
PEI_CPU_IO_PPI_IO_READ16,EFI_PEI_CPU_IO_PPI_IO_READ16
PEI_CPU_IO_PPI_IO_READ32,EFI_PEI_CPU_IO_PPI_IO_READ32
PEI_CPU_IO_PPI_IO_READ64,EFI_PEI_CPU_IO_PPI_IO_READ64
PEI_CPU_IO_PPI_IO_WRITE8,EFI_PEI_CPU_IO_PPI_IO_WRITE8
PEI_CPU_IO_PPI_IO_WRITE16,EFI_PEI_CPU_IO_PPI_IO_WRITE16
PEI_CPU_IO_PPI_IO_WRITE32,EFI_PEI_CPU_IO_PPI_IO_WRITE32
PEI_CPU_IO_PPI_IO_WRITE64,EFI_PEI_CPU_IO_PPI_IO_WRITE64
PEI_CPU_IO_PPI_MEM_READ8,EFI_PEI_CPU_IO_PPI_MEM_READ8
PEI_CPU_IO_PPI_MEM_READ16,EFI_PEI_CPU_IO_PPI_MEM_READ16
